,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
768,Kia,Hatchback,0,13990,123000,738,10738,57009,1591,1261,10,1,13135,13135,91,3,16800
769,Toyota,SUV,8,15640,36183,2028,60841,39728,2694,1875,2,1,32425,37395,122,1,147800
770,Mercedes-Benz,SUV,8,24030,14700,1202,83938,32801,1991,1795,2,1,56277,73299,190,1,248800
771,Audi,SUV,4,25120,86521,1194,79653,46970,1984,2050,6,1,61144,82060,185,1,159800
772,Honda,MPV,6,13790,63000,1630,60322,53711,2356,1855,4,1,29808,33732,129,1,106800
773,Lexus,Luxury Sedan,7,16140,41000,1784,62856,35310,2487,1620,3,1,39999,47999,152,1,149800
774,Toyota,SUV,7,13070,25187,1210,53160,37989,1998,1695,3,1,30808,35132,170,1,109800
775,Toyota,MPV,7,6650,115200,1264,24060,32121,1794,1310,13,1,18803,18803,97,2,49800
776,Mercedes-Benz,Luxury Sedan,6,15340,49000,740,63128,45289,1595,1425,4,1,37239,44135,115,1,123800
777,Honda,Hatchback,8,8170,23000,578,30084,31917,1317,1030,2,1,15064,5064,73,1,69800
778,Toyota,Mid-Sized Sedan,6,8300,63000,682,36381,38000,1496,1085,3,1,13707,13707,79,2,63888
779,Kia,Mid-Sized Sedan,7,8560,75176,738,30406,25689,1591,1287,3,1,13722,13722,93,1,73888
780,Toyota,Mid-Sized Sedan,8,6010,111600,890,24428,29485,1598,1195,12,1,17853,17853,80,3,49800
781,Toyota,MPV,7,7080,128402,1169,27989,35411,1797,1340,12,1,21562,21247,106,5,55998
782,Mazda,SUV,9,12560,4300,1210,48923,36502,1998,1576,2,1,24580,26412,121,1,128800
783,Toyota,MPV,4,11500,73858,976,42967,60789,1798,1360,6,1,23454,24836,105,1,60800
784,Mazda,Mid-Sized Sedan,2,11270,134586,742,22965,66989,1598,1275,9,1,17418,17418,77,2,31800
785,Nissan,SUV,4,10190,51000,508,32913,47300,1197,1285,5,1,18974,13974,85,1,56800
786,Nissan,SUV,7,10500,16000,508,35825,26309,1197,1325,3,1,20399,20559,85,1,91700
