,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
1278,Mazda,Luxury Sedan,4,11120,118000,1210,37030,75002,1998,1454,6,1,19514,9514,121,2,49800
1279,Porsche,Sports Car,3,21820,145000,3999,28360,72136,3179,1460,16,1,91352,100488,206,6,85800
1280,Mercedes-Benz,Luxury Sedan,7,12620,97000,1266,27980,35411,1796,1485,13,1,35991,35991,115,1,99720
1281,Mitsubishi,Mid-Sized Sedan,4,9090,71000,738,32192,56209,1590,1289,6,1,11515,11515,86,2,44800
1282,Honda,Mid-Sized Sedan,1,8910,185196,1036,5285,25313,1595,1220,14,1,17935,19729,92,3,9300
1283,Mazda,MPV,5,11730,52000,1210,46704,57501,1998,1664,5,1,22042,22859,111,1,71800
1285,MINI,Hatchback,7,12290,50199,684,38881,36426,1499,1195,3,1,24947,16926,75,1,96800
1286,Subaru,SUV,4,12000,103500,1210,37427,60789,1998,1682,6,1,17113,17113,177,2,58800
1287,Audi,SUV,4,12900,102338,1313,13657,16784,1984,1740,11,1,38886,38886,155,2,52500
1288,Ford,Sports Car,6,23600,29761,1520,64974,38000,2261,1692,5,1,43350,52690,233,1,188800
1289,Volkswagen,Sports Car,8,9250,120000,1433,33263,38071,1984,1339,12,1,31874,31874,155,2,80800
1290,Honda,Hatchback,7,6040,180000,708,22148,27886,1339,1010,12,1,14196,14196,73,5,48000
1291,Volkswagen,MPV,8,13740,20000,1194,63757,39406,1984,1790,2,1,35887,42242,162,1,133000
1292,Lexus,SUV,7,16140,55000,1210,66762,33420,1998,1755,3,1,46099,56539,175,1,146000
1293,Kia,Sports Car,4,8940,130000,812,13240,16438,1591,1207,11,0,14160,14160,92,5,35999
1294,Nissan,Sports Car,8,11760,148000,4169,33701,39313,3696,1490,12,0,50809,50809,245,4,100800
1295,Mercedes-Benz,Luxury Sedan,2,17830,78856,1202,51770,77600,1991,1680,8,1,49985,56979,155,3,68888
1296,Mercedes-Benz,SUV,8,13350,14288,740,49259,30000,1595,1435,2,1,28463,31849,90,2,128800
1297,Toyota,SUV,9,8470,14830,392,37083,33520,996,970,1,1,18546,8546,72,1,81800
1298,BMW,Luxury Sedan,7,7820,160000,2155,27989,35411,2497,1605,12,1,52627,52627,160,3,61800
1299,Mercedes-Benz,Luxury Sedan,6,18180,59000,1202,80871,39001,1991,1605,3,1,55451,71812,135,1,161800
1300,Porsche,SUV,9,32970,1800,2380,145910,41503,2995,2105,1,1,99333,150800,250,1,388000
1301,BMW,Luxury Sedan,9,8700,139500,1976,30680,33568,2497,1650,11,1,42006,42006,150,5,79500
1302,Mitsubishi,Mid-Sized Sedan,6,6520,33000,70,24298,34106,1193,940,4,1,12940,5000,57,1,41800
1303,Volkswagen,Sports Car,9,9990,118000,1313,46797,47316,1984,1364,10,1,35702,35702,188,3,98800
1304,BMW,Luxury Sedan,9,20450,6600,1210,90025,41510,1998,1540,1,1,53590,68462,135,1,224800
1305,Mercedes-Benz,SUV,6,22790,54000,1202,70595,38801,1991,1785,4,1,47965,59151,155,1,183800
1306,Toyota,SUV,4,13910,49170,1196,46782,58109,1986,1610,6,1,29454,28236,111,1,78800
1307,Mercedes-Benz,SUV,8,22040,16000,1202,74057,37705,1991,1730,2,1,44890,54846,145,1,219888
1308,Mercedes-Benz,Hatchback,2,14630,100000,740,28179,73160,1595,1395,8,1,24641,16498,115,3,44800
1309,Volkswagen,Luxury Sedan,5,11740,46000,976,51641,51109,1798,1480,5,1,31369,30917,132,1,80800
1310,Subaru,SUV,7,10930,59000,1208,33169,31307,1995,1591,3,1,13656,13656,110,1,86888
1311,Mercedes-Benz,SUV,8,13800,13134,740,50231,30010,1595,1435,2,1,28512,31917,90,1,136900
1312,Mercedes-Benz,SUV,7,13450,54000,740,51011,38001,1595,1435,3,1,28179,31451,90,1,112800
1313,Mitsubishi,Mid-Sized Sedan,2,8370,120121,821,7196,12763,1499,1313,12,1,16812,16812,80,3,23600
1314,MINI,Hatchback,9,11400,3000,684,49020,37690,1499,1140,1,1,25526,17737,75,1,116888
1315,BMW,Sports Car,4,19490,40000,2362,75075,60000,2979,1525,6,1,54118,69413,250,3,121000
1316,Toyota,Mid-Sized Sedan,4,10930,108000,742,37232,55889,1598,1205,6,1,19589,19589,90,1,55800
1317,Ford,Stationwagon,5,8470,74472,392,38731,48401,999,1345,5,1,19777,14777,92,1,55800
1318,BMW,Sports Car,7,22090,135000,4738,25826,33018,3999,1580,12,1,106509,106509,308,5,172800
1319,Honda,SUV,7,9520,37000,682,28708,26170,1496,1190,3,1,21160,11624,96,1,78500
1320,Toyota,MPV,7,8110,189000,2129,23652,31553,2362,1845,13,1,34440,34440,125,2,60800
1321,Subaru,SUV,6,9940,106000,1208,38567,39001,1995,1489,4,1,16133,16133,115,1,75500
1322,Opel,Hatchback,4,8480,61000,606,34683,48002,1364,1396,6,1,17797,17797,88,2,50800
1323,Honda,Sports Car,6,9560,95000,1573,27056,38712,1998,1345,13,0,32045,23346,148,4,66800
1324,Subaru,SUV,7,11050,24000,1208,35586,36000,1995,1591,3,1,13559,13559,110,1,84800
1325,Toyota,Mid-Sized Sedan,3,10230,85000,684,29640,65001,1497,1045,7,1,14133,9133,80,1,41888
1326,Volkswagen,SUV,3,15720,89000,1194,47431,65700,1984,1689,8,1,35702,41983,155,3,69200
1327,Mercedes-Benz,Luxury Sedan,3,20570,79568,1202,45662,72180,1991,1480,7,1,36262,32767,155,3,85800
1328,Nissan,SUV,5,11340,51770,1210,48116,55501,1997,1626,5,1,23227,24518,106,1,73000
1329,Toyota,Mid-Sized Sedan,8,8380,17000,682,39231,32699,1496,1085,2,1,13870,13870,79,1,80800
1330,Mercedes-Benz,SUV,8,14040,8000,740,48888,32000,1595,1435,2,1,25864,28210,90,1,135800
1331,Mercedes-Benz,SUV,7,13350,25000,740,51963,38941,1595,1435,3,1,28937,32512,90,1,110800
1332,Porsche,Sports Car,9,33040,69500,3638,49662,49716,3800,1525,10,1,146912,146912,300,2,330000
1333,Subaru,Mid-Sized Sedan,0,12250,200000,1113,4036,24715,1597,1280,14,1,12373,9537,70,3,10000
1334,Land Rover,SUV,0,70780,61000,1212,35721,64889,1999,1690,10,1,63513,63513,177,4,75000
1335,Mercedes-Benz,Luxury Sedan,5,15600,55201,740,51534,48401,1595,1430,5,1,31756,31459,90,1,105800
1336,MINI,Sports Car,8,18000,31000,1210,61580,34000,1998,1255,2,1,38066,45293,170,1,168800
1337,Toyota,MPV,7,15960,55000,1792,55356,31302,2493,1940,3,1,36300,42820,134,1,139888
1338,Mercedes-Benz,Sports Car,9,11350,90000,1071,30416,32914,1796,1695,11,1,63555,63555,150,3,104888
1339,Honda,Mid-Sized Sedan,8,11480,16700,684,50461,32889,1498,1310,1,1,26388,28944,127,1,114800
1340,Honda,Hatchback,2,7870,142000,767,7587,13088,1339,1090,12,1,20033,20033,73,4,22800
1341,Honda,Hatchback,4,10100,60688,684,29961,55889,1498,1046,6,1,14574,9574,96,1,46800
1342,Volkswagen,Hatchback,5,11080,78000,624,43986,55501,1395,1288,5,1,25046,17065,110,1,70800
1343,BMW,Sports Car,3,40910,73000,4568,140049,67304,4395,1875,8,1,117683,183830,412,4,216888
1344,Volkswagen,Luxury Sedan,5,11570,58076,976,53578,56410,1798,1480,5,1,31375,30925,132,1,77800
1345,Mercedes-Benz,Luxury Sedan,8,15060,30000,586,65405,39700,1332,1385,2,1,35933,42307,120,2,148888
1346,BMW,Sports Car,7,9210,170000,2335,24025,32121,2497,1525,13,1,48714,48714,160,5,68888
1347,Nissan,SUV,4,11430,20800,1210,40209,47604,1997,1626,5,1,22509,23513,106,1,68800
1348,Audi,Hatchback,7,8990,150000,1552,27766,35411,1984,1415,12,1,36100,36100,188,6,70500
1349,Mitsubishi,Mid-Sized Sedan,2,8960,145000,881,7595,13088,1584,1132,12,0,12453,12453,79,2,26000
1350,Honda,Hatchback,5,9960,50000,684,37835,50889,1498,1046,5,1,16650,11650,96,1,62800
1351,Audi,Luxury Sedan,4,11060,83000,624,39681,57301,1395,1310,6,1,27621,20670,92,3,59000
1352,Mercedes-Benz,Sports Car,5,18480,42188,740,61664,56089,1595,1475,5,1,39138,41794,115,3,120800
1353,Honda,Hatchback,7,8290,39000,578,25418,26301,1317,1030,2,1,15980,5980,73,1,69000
1354,Porsche,Sports Car,8,43830,50300,3989,32616,39936,3600,1765,13,1,230819,230819,353,1,358000
1355,Subaru,Sports Car,7,9150,110000,2275,23909,31335,2457,1395,13,0,21548,21548,169,4,69800
1356,Volkswagen,Sports Car,8,10770,135000,1313,31244,35416,1984,1466,11,1,37388,37388,188,5,95000
1357,Audi,Sports Car,7,29800,23123,1776,82696,31301,2480,1585,3,1,59673,79412,294,3,260000
1358,Volkswagen,Sports Car,9,9300,127813,1194,41233,42683,1984,1364,10,1,36133,36133,188,5,89800
1359,Toyota,MPV,8,21000,25000,3100,32303,37900,3456,2070,4,1,40658,48922,206,1,179000
1360,McLaren,Sports Car,1,157150,20000,3634,156554,92100,3798,1514,9,1,260177,260177,441,5,360000
1361,BMW,Luxury Sedan,5,13830,75000,684,54132,56206,1499,1425,5,1,31259,30763,100,3,91800
1362,Toyota,MPV,9,9390,78000,1638,49662,49716,2362,1750,10,1,39486,39486,125,3,93800
1363,Porsche,Sports Car,0,250750,88000,3068,64633,82003,3436,1475,9,1,116055,116055,257,1,260000
1364,Mercedes-Benz,Hatchback,4,14120,110000,740,37197,67601,1595,1370,6,1,23164,14430,90,2,63800
1365,Bentley,Sports Car,1,114770,46000,3940,107436,80191,3993,2295,9,1,173887,173887,373,4,255800
1366,Suzuki,Hatchback,1,9130,240000,957,7111,21485,1586,1100,14,1,12985,12985,92,6,15111
1367,Nissan,MPV,2,18680,76152,1786,49492,82000,2488,1975,7,1,36021,42430,125,1,76888
1368,Honda,SUV,4,10980,72000,682,30294,51301,1496,1190,6,1,19063,9063,96,2,55800
1369,MINI,Hatchback,7,7030,176000,965,19958,25525,1598,1105,13,1,27941,27941,88,4,55000
1370,Toyota,MPV,5,10870,90355,976,38671,47000,1798,1360,5,1,19953,19953,105,1,64800
1371,BMW,Luxury Sedan,4,14970,71000,684,46563,62140,1499,1425,6,1,29993,28991,100,1,77800
1372,Kia,Mid-Sized Sedan,6,9000,65512,738,39553,42339,1591,1295,4,1,15696,15696,95,2,66888
1373,Mercedes-Benz,SUV,8,18300,38000,1202,76298,41805,1991,1735,2,1,44771,54680,155,1,181800
1374,Honda,MPV,7,14050,39784,1630,49847,32311,2356,1858,3,1,30826,35157,129,1,119800
1375,BMW,MPV,6,12140,42000,684,53152,40000,1499,1480,4,1,30858,35202,75,1,98800
1376,Hyundai,Mid-Sized Sedan,6,8890,38500,738,35927,38941,1591,1345,3,1,11757,11757,93,1,67800
1377,Toyota,Mid-Sized Sedan,7,5960,142166,965,20624,26175,1598,1195,12,1,16990,16990,80,5,47000
1378,BMW,Luxury Sedan,4,25830,84000,2384,105111,47000,2998,1770,5,1,80796,117433,240,2,184588
1379,Honda,Stationwagon,5,10500,41300,682,31839,52301,1496,1130,6,1,16878,6878,97,1,56988
1380,Nissan,SUV,4,11520,73000,1210,41746,58190,1997,1626,6,1,21714,22400,106,1,62800
1381,Honda,Hatchback,2,7100,164000,767,7252,15142,1339,1010,13,1,12078,12078,73,4,17000
1382,BMW,Luxury Sedan,2,16090,155000,742,30841,67301,1598,1405,8,1,33438,28814,100,3,46800
1383,Mazda,Sports Car,6,14440,47000,1210,63244,54616,1998,1080,6,1,34472,40261,118,2,107888
1384,BMW,Luxury Sedan,1,14710,101000,742,27206,61029,1598,1405,9,1,33423,28793,100,3,41800
1385,Honda,MPV,1,8940,120000,1369,7684,20441,1799,1350,13,1,18941,18941,103,4,16800
1386,Mitsubishi,SUV,6,11350,52767,684,48737,42661,1499,1490,4,1,25003,27005,120,1,89300
1387,Volkswagen,Sports Car,7,9440,140434,1433,25826,33018,1984,1339,12,1,30274,30274,155,6,73800
1388,Toyota,MPV,9,8460,130000,1802,46862,47316,2362,1770,11,1,38965,38965,125,4,83800
1389,Mazda,Mid-Sized Sedan,5,9060,79000,682,38851,51600,1496,1310,4,1,16256,11256,88,2,59000
1390,Toyota,MPV,9,22400,4300,3100,96743,45510,3456,2110,1,1,60590,81062,221,1,255800
1391,Subaru,SUV,4,13100,92000,1208,36185,51010,1995,1566,5,1,15516,15516,110,2,72800
1392,Toyota,Mid-Sized Sedan,5,10320,52000,742,42654,48401,1598,1215,5,1,19990,19990,90,2,69000
1393,Skoda,SUV,9,12900,4888,624,57840,45510,1395,1572,1,1,26554,29176,110,1,138800
1394,Mercedes-Benz,Luxury Sedan,3,32250,89000,2382,116090,67304,2996,1935,7,1,97016,146629,245,2,172888
1395,Mercedes-Benz,Luxury Sedan,6,14910,50000,740,48533,48000,1595,1430,4,1,28004,26206,90,3,102800
1396,Toyota,SUV,8,13820,16900,1210,55109,37989,1998,1695,2,1,30808,35132,170,1,136800
1397,Honda,Stationwagon,5,9850,82210,682,34567,48401,1496,1130,5,1,19189,9189,97,1,60888
1398,Mercedes-Benz,Hatchback,9,15240,5000,586,69385,40989,1332,1375,2,1,35432,41605,120,1,162800
1399,Porsche,SUV,4,38700,48800,3330,152903,58190,3604,2160,6,1,115562,180012,309,3,268888
1400,Toyota,Mid-Sized Sedan,4,10190,83000,742,36922,47300,1598,1205,6,1,19589,19589,90,1,59800
1401,Nissan,Hatchback,4,9350,68688,508,30244,66000,1198,1080,6,1,13995,5000,72,2,40388
1402,Lexus,Luxury Sedan,8,9350,198938,2618,30128,33568,2995,1660,11,1,58167,58167,183,5,83888
1403,Volkswagen,Sports Car,1,21070,121000,1194,36627,67304,1984,1364,9,1,36039,42455,188,4,62800
1404,BMW,Luxury Sedan,9,9910,131000,2598,30450,33568,2979,1700,11,1,59744,59744,225,3,89888
1405,Mercedes-Benz,Luxury Sedan,2,17570,104500,1202,53458,80710,1991,1655,8,1,45943,51321,135,2,75000
1406,Mitsubishi,Mid-Sized Sedan,1,8150,230000,958,6703,21349,1499,1313,14,1,16277,17905,80,2,12800
1407,Kia,Mid-Sized Sedan,7,7210,163000,959,19905,25727,1591,1251,12,1,13674,7106,92,4,55800
1408,Mitsubishi,Mid-Sized Sedan,1,6300,123000,954,7576,19096,1584,1162,13,0,10204,7778,79,2,12500
1409,MINI,Sports Car,9,18090,5000,1210,72359,47506,1998,1235,1,1,39643,47501,225,1,200000
1410,Honda,Hatchback,7,8000,20000,578,25054,26659,1317,1030,2,1,15378,5378,73,1,65800
1411,Mercedes-Benz,Luxury Sedan,9,30820,24204,2382,129604,35889,2996,1940,2,1,87297,129135,200,1,345800
1412,Volkswagen,Sports Car,8,8530,160000,1433,32981,38071,1984,1393,12,1,30348,30348,155,4,73888
1413,Honda,SUV,4,10230,76000,682,29629,46651,1496,1190,6,1,19753,9753,96,1,54900
1414,Toyota,SUV,2,10870,146000,2129,7602,18953,2362,1600,13,1,28362,28362,118,2,21800
1415,Hyundai,Mid-Sized Sedan,8,7930,46000,738,32701,28589,1591,1345,2,1,12584,12584,93,1,70800
1416,Toyota,MPV,6,13930,72000,1638,64171,50526,2362,1760,5,1,37090,43926,125,2,108800
1417,Kia,Mid-Sized Sedan,8,9140,19998,738,43902,36704,1591,1287,3,1,18634,18634,93,1,83800
1418,Honda,MPV,6,13820,49000,1630,62883,57390,2356,1855,4,1,30068,34096,129,1,106888
1419,Mercedes-Benz,SUV,9,54180,7780,3922,217691,38000,3982,2560,1,1,154853,250736,430,1,618000
1420,BMW,SUV,2,16620,140000,1210,36931,67304,1997,1510,8,1,37160,39024,135,3,52888
1421,Mazda,MPV,2,8240,150000,1576,7756,16140,1999,1527,13,1,20746,20746,107,4,19800
1422,Mazda,Mid-Sized Sedan,6,9260,46601,682,37007,46778,1496,1310,4,1,15605,10605,88,1,62800
1423,BMW,Luxury Sedan,9,7950,145000,1976,41233,42683,2497,1650,10,1,41236,41236,150,4,76800
1424,BMW,SUV,8,13060,42000,684,62364,40002,1499,1430,2,1,35726,42017,103,1,128500
1425,BMW,Sports Car,4,14830,75558,684,42226,49602,1499,1360,5,1,27426,25397,100,1,85800
1426,Honda,Hatchback,4,10570,90000,684,29976,55889,1498,1046,6,1,14574,9574,96,1,48800
1427,Audi,Luxury Sedan,8,13720,22000,1194,60232,40002,1984,1480,2,1,33720,39208,140,1,133800
1428,Mercedes-Benz,Hatchback,4,12970,95000,740,37716,56209,1595,1395,6,1,22896,19055,90,2,65788
1429,Mazda,Mid-Sized Sedan,6,8760,77000,682,35405,46489,1496,1310,4,1,14761,9761,88,3,57800
1430,Lexus,SUV,5,20210,67174,1210,84011,50621,1998,2070,4,1,56222,73200,175,1,152800
1431,Honda,SUV,4,11090,68049,682,29637,46009,1496,1190,5,1,19781,9781,96,2,59800
1432,Audi,Luxury Sedan,6,14760,25054,624,58536,57390,1395,1450,4,1,32726,27817,110,1,110800
1433,Volvo,Luxury Sedan,3,10640,131048,1176,38218,74801,1969,1557,7,1,27981,21174,180,1,46800
1434,Subaru,SUV,5,12020,78000,1210,46502,56206,1998,1682,5,1,20817,21144,177,1,76100
1435,Mercedes-Benz,Luxury Sedan,6,15860,36000,740,64354,47002,1595,1425,4,1,37239,44135,115,1,127500
1436,Mitsubishi,Mid-Sized Sedan,7,6110,124000,881,22278,27886,1584,1162,12,1,13067,13067,79,1,48800
1437,Porsche,SUV,5,27370,54500,1194,92396,53001,1984,1845,5,1,62517,84531,185,2,192000
1438,Lexus,Luxury Sedan,7,15270,47700,1210,57565,32551,1998,1620,3,1,38430,45802,180,1,131800
1439,Honda,Mid-Sized Sedan,7,10700,40000,742,42477,38510,1597,1249,3,1,20254,20356,92,1,85800
1440,Audi,SUV,8,17010,29000,624,52175,30012,1395,1545,1,1,30259,34363,110,1,166800
1441,Nissan,Mid-Sized Sedan,4,8420,135000,742,35814,57498,1598,1205,6,1,16439,16439,85,1,43800
1442,Mercedes-Benz,Sports Car,9,12090,133000,974,49662,49716,1796,1500,10,1,58269,58269,150,2,120800
1443,Toyota,Mid-Sized Sedan,3,10480,110000,742,33791,65001,1598,1205,6,1,19589,14589,90,2,46500
1444,Audi,Luxury Sedan,8,15720,34000,1194,65276,40002,1984,1535,2,1,38524,45934,140,2,153800
1445,Toyota,Mid-Sized Sedan,9,5660,73100,752,30897,33140,1497,1095,11,1,12331,12331,80,2,52800
1446,Mercedes-Benz,Hatchback,2,14150,73500,740,25016,67301,1595,1425,8,1,25714,18000,115,2,38888
1447,Nissan,SUV,5,11710,86800,1210,49356,56206,1997,1626,5,1,23227,24518,106,2,76800
1448,Honda,Stationwagon,6,9860,55000,682,34790,46489,1496,1130,5,1,19144,9144,97,1,63800
1449,Nissan,SUV,4,11680,95000,1210,42794,55089,1997,1626,5,1,22509,23513,106,2,67800
1450,Nissan,SUV,7,10810,6600,1210,45810,35403,1997,1425,3,1,23311,24636,106,1,95800
1451,Hyundai,Mid-Sized Sedan,3,6440,158000,886,11424,15988,1591,1264,12,1,11406,11406,89,3,22999
1452,Toyota,Mid-Sized Sedan,8,6130,113081,890,24420,29485,1598,1195,12,1,17853,17853,80,3,50800
1453,Audi,Sports Car,7,24150,70000,5468,26398,36888,4163,1565,13,1,142498,142498,309,6,172800
1454,Mercedes-Benz,Luxury Sedan,4,18410,75000,1202,70842,50089,1991,1680,6,1,52959,67327,155,1,120800
1455,Toyota,Mid-Sized Sedan,7,7070,158638,887,19817,26047,1496,1200,13,1,15989,15989,81,1,53800
1456,Subaru,Mid-Sized Sedan,7,6600,140000,889,20818,27571,1498,1325,13,1,13863,13863,79,4,49800
1457,Mercedes-Benz,Luxury Sedan,5,15050,71000,740,50025,50991,1595,1430,4,1,28815,27341,90,2,100800
1458,Toyota,Mid-Sized Sedan,3,10970,75000,742,35729,67749,1598,1205,6,1,19589,14589,90,1,49800
1459,Hummer,SUV,7,13870,91000,4090,31607,39563,3653,2231,13,1,28987,28987,180,6,110800
1460,Honda,SUV,4,11110,85223,682,30718,47300,1496,1190,6,1,20571,10800,96,1,59800
1461,Honda,Hatchback,2,7510,148000,708,8944,14920,1339,1010,12,1,14611,14611,73,3,22500
1462,Audi,Luxury Sedan,6,14250,35000,624,57875,57414,1395,1450,4,1,32726,27817,110,1,105800
1463,Toyota,Luxury Sedan,5,11040,99000,1792,55757,56410,2494,1475,5,1,29570,33398,133,2,76800
1464,Honda,Hatchback,3,7810,112000,708,12674,16604,1339,1010,11,1,15168,15168,73,3,29800
1465,Mercedes-Benz,SUV,5,21560,49000,1202,69238,53001,1991,1735,5,1,43761,53266,155,2,145800
1466,Lexus,Luxury Sedan,5,15050,88000,1210,61871,56000,1998,1620,5,1,37505,44507,180,2,98800
1467,BMW,Luxury Sedan,6,13820,33421,684,56345,49012,1499,1425,4,1,33232,33525,100,2,104800
1468,Suzuki,Hatchback,2,7200,129000,694,7196,12763,1242,1000,13,1,11111,11111,66,4,20300
1469,Infiniti,Luxury Sedan,3,13280,48000,1202,54252,75289,1991,1644,7,1,35433,41607,155,2,68800
1470,Hyundai,Hatchback,8,9140,22000,600,41522,33009,1353,1240,2,1,17850,17850,95,1,86800
1471,Lamborghini,Sports Car,1,135920,30728,5834,110488,92700,5204,1500,10,1,177938,177938,405,3,278888
1472,Hyundai,Mid-Sized Sedan,3,8910,54700,238,24754,46880,1591,1292,7,1,13838,13838,97,1,36888
1473,Toyota,SUV,8,13890,10000,1210,58982,37705,1998,1695,2,1,30808,35132,170,1,137800
1474,Mercedes-Benz,SUV,8,13650,15211,740,54379,35010,1595,1435,2,1,28463,31849,90,1,134800
1475,Honda,Stationwagon,5,9780,80000,682,29255,47020,1496,1130,5,1,17591,7591,97,1,52800
1476,BMW,Sports Car,9,16580,106000,4343,38985,40714,3999,1675,11,1,86751,86751,309,3,158800
1477,Nissan,Mid-Sized Sedan,2,7620,155240,889,7542,17099,1498,1110,14,1,13631,13631,80,2,16800
1478,Toyota,Mid-Sized Sedan,2,7710,116100,889,7566,13088,1497,1095,12,1,12104,12104,80,3,22277
1479,Mercedes-Benz,Luxury Sedan,7,20200,28054,1202,81904,31302,1991,1615,3,1,58787,77817,155,1,190800
1480,Hyundai,Mid-Sized Sedan,5,9150,57700,738,36924,51506,1591,1345,5,1,12975,12975,93,1,54800
1481,Honda,Hatchback,1,7900,104000,767,7339,19328,1339,1040,13,1,14433,14433,60,2,15000
1482,Volkswagen,Hatchback,4,10770,45000,124,25425,42200,1395,1249,7,1,19251,9251,90,2,53000
1483,Honda,MPV,4,13950,45917,1630,48678,51010,2356,1855,5,1,29616,33463,129,1,85800
1484,BMW,Luxury Sedan,9,7490,63732,1208,49648,49716,1995,1390,10,1,30911,30911,100,2,74822
1485,Volkswagen,Mid-Sized Sedan,5,9560,48000,620,46490,51106,1390,1417,5,1,20867,21214,90,2,67800
1486,Mitsubishi,Mid-Sized Sedan,2,8090,216790,821,7196,12763,1499,1313,12,1,18868,18868,80,3,22800
1487,Renault,Sports Car,7,16320,27000,976,50133,32551,1798,1430,3,1,30800,35120,205,2,136888
1488,Volvo,Hatchback,6,10120,65000,684,42014,42902,1498,1454,4,1,23530,19942,90,1,73800
1489,Toyota,Luxury Sedan,1,7650,140000,2129,7762,20441,2362,1540,13,1,28436,28436,123,3,14518
1490,Honda,SUV,7,9550,25200,682,36982,38941,1496,1190,3,1,21863,12609,96,1,73800
1491,Hyundai,Mid-Sized Sedan,4,9170,90000,738,31308,45002,1591,1292,6,1,15100,15100,97,2,49800
1492,Mercedes-Benz,Luxury Sedan,4,26990,43000,2382,128316,54920,2996,1935,6,1,96961,146530,245,2,199800
1493,Mercedes-Benz,SUV,7,19520,55300,1202,64624,31001,1991,1735,3,1,44782,54695,155,1,176000
1494,Toyota,Mid-Sized Sedan,4,11030,27800,742,37347,57089,1598,1205,6,1,17804,17804,90,2,57000
1495,Mercedes-Benz,Sports Car,9,26350,3688,1202,96712,40690,1991,1635,1,1,58688,77639,310,1,288000
1496,BMW,Sports Car,9,11460,144000,2598,32571,34935,2979,1525,11,1,60576,60576,250,6,106800
1497,BMW,Luxury Sedan,2,17980,110000,1210,54845,79300,1997,1615,8,1,50910,58638,180,2,73888
1498,Mercedes-Benz,Hatchback,5,13170,51000,740,42091,50000,1595,1395,5,1,23345,19683,90,1,81800
1499,Toyota,MPV,5,7850,185000,2457,24572,48479,2362,1780,15,1,32961,36258,125,3,39800
1500,Mitsubishi,Mid-Sized Sedan,6,7610,29809,506,30623,38510,1193,940,3,1,13719,5000,59,1,55588
1501,Mitsubishi,Mid-Sized Sedan,3,13530,190000,821,9497,14664,1499,1313,12,1,16879,16879,80,5,43800
1502,Subaru,SUV,7,10730,55000,1208,36771,37989,1995,1591,3,1,13488,13488,110,1,82000
1503,Mercedes-Benz,Hatchback,3,13010,103000,740,29953,63190,1595,1425,8,1,24674,16544,90,2,47800
1504,Hyundai,Mid-Sized Sedan,8,8350,24068,738,37892,32725,1591,1345,2,1,14695,14695,93,1,75888
1505,Mazda,SUV,4,11980,68000,1786,47965,51010,2488,1568,5,1,28718,32206,141,1,75800
1506,Toyota,Mid-Sized Sedan,1,11570,130000,742,13550,45799,1598,1195,9,1,15101,15101,90,2,20800
1507,Mercedes-Benz,Luxury Sedan,3,16280,72000,1202,60297,76612,1991,1655,7,1,42793,46911,135,1,86800
1508,MINI,Hatchback,7,12300,24000,684,37050,31997,1499,1225,3,1,25634,17888,75,2,99800
1509,Honda,SUV,5,10030,80897,682,30428,45504,1496,1190,5,1,19752,9752,96,3,55800
1510,Toyota,Mid-Sized Sedan,2,8400,139579,887,7135,15142,1496,1200,13,1,14949,12079,81,5,19800
1511,Kia,Mid-Sized Sedan,6,9220,60155,738,39005,42902,1591,1295,4,1,15569,15569,95,1,66500
1512,Mercedes-Benz,Luxury Sedan,2,14490,148000,740,36581,74991,1595,1485,8,1,29525,28335,115,3,52000
1513,Honda,SUV,4,10000,76177,682,29692,46009,1496,1190,5,1,20350,10490,96,1,53800
1514,Mercedes-Benz,Luxury Sedan,3,16990,82000,740,32554,60002,1595,1430,7,1,28669,22137,90,2,62500
1515,BMW,SUV,4,21250,102432,2362,85012,65501,2979,2030,7,1,61676,83017,225,2,128800
1516,BMW,Sports Car,3,24650,58000,2362,61518,73990,2979,1470,7,1,43993,53591,240,3,115888
1517,Toyota,MPV,7,9240,182221,2129,25289,34991,2362,1920,13,1,36199,36199,125,5,66800
1518,Suzuki,Hatchback,2,7130,130000,884,7135,15142,1490,1060,13,1,11994,11994,74,5,16800
1519,Honda,Hatchback,2,9420,144518,889,6772,13024,1497,1115,13,1,23205,23205,88,3,24500
1520,Toyota,MPV,7,7990,130000,2129,24034,32121,2362,1710,13,1,31627,31627,125,3,59800
1521,Honda,Hatchback,5,8160,26000,78,23338,33789,1317,1020,5,1,14057,5000,73,1,49800
1522,Chevrolet,Mid-Sized Sedan,2,6260,111000,814,6957,13786,1399,1115,13,0,10333,922,69,2,15800
1523,Porsche,SUV,9,14210,124888,3654,30450,33568,3598,2105,10,1,79435,79435,220,3,128888
1524,Nissan,Hatchback,6,7900,35800,508,33521,46778,1198,1048,4,1,13758,5000,58,1,52800
1525,Kia,Sports Car,3,7380,205000,886,11839,16184,1591,1232,12,1,15754,15754,92,3,27000
1526,Honda,Stationwagon,7,9420,20000,682,35698,38830,1496,1130,3,1,20887,11242,97,1,71800
1527,Lexus,Luxury Sedan,2,16010,116000,1792,43509,80000,2494,1615,8,1,35305,41427,135,1,59500
1528,Volkswagen,Luxury Sedan,2,16390,96000,1194,47126,75010,1984,1535,7,1,35736,42031,155,2,68888
